country_region_code,country_region,region,date,tipo,value
AR,Argentina,Buenos Aires,2020-12-10,retail_and_recreation,-42
AR,Argentina,Buenos Aires,2020-12-11,retail_and_recreation,-39
AR,Argentina,Buenos Aires,2020-12-12,retail_and_recreation,-32
AR,Argentina,Buenos Aires,2020-12-13,retail_and_recreation,-40
AR,Argentina,Buenos Aires,2020-12-14,retail_and_recreation,-36
AR,Argentina,Buenos Aires,2020-12-15,retail_and_recreation,-34
AR,Argentina,Buenos Aires,2020-12-16,retail_and_recreation,-33
AR,Argentina,Buenos Aires,2020-12-17,retail_and_recreation,-35
AR,Argentina,Buenos Aires,2020-12-18,retail_and_recreation,-31
AR,Argentina,Buenos Aires,2020-12-19,retail_and_recreation,-24
AR,Argentina,Buenos Aires,2020-12-20,retail_and_recreation,-28
AR,Argentina,Buenos Aires,2020-12-21,retail_and_recreation,-20
AR,Argentina,Buenos Aires,2020-12-22,retail_and_recreation,-21
AR,Argentina,Buenos Aires,2020-12-23,retail_and_recreation,-21
AR,Argentina,Buenos Aires,2020-12-24,retail_and_recreation,-51
AR,Argentina,Buenos Aires,2020-12-25,retail_and_recreation,-86
AR,Argentina,Buenos Aires,2020-12-26,retail_and_recreation,-48
AR,Argentina,Buenos Aires,2020-12-27,retail_and_recreation,-47
AR,Argentina,Buenos Aires,2020-12-28,retail_and_recreation,-38
AR,Argentina,Buenos Aires,2020-12-29,retail_and_recreation,-36
AR,Argentina,Buenos Aires,2020-12-30,retail_and_recreation,-35
AR,Argentina,Buenos Aires,2020-12-31,retail_and_recreation,-59
PE,Peru,Lima Province,2020-02-15,retail_and_recreation,2
PE,Peru,Lima Province,2020-02-16,retail_and_recreation,1
PE,Peru,Lima Province,2020-02-17,retail_and_recreation,1
PE,Peru,Lima Province,2020-02-18,retail_and_recreation,0
PE,Peru,Lima Province,2020-02-19,retail_and_recreation,0
PE,Peru,Lima Province,2020-02-20,retail_and_recreation,0
PE,Peru,Lima Province,2020-02-21,retail_and_recreation,-1
PE,Peru,Lima Province,2020-02-22,retail_and_recreation,-1
PE,Peru,Lima Province,2020-02-23,retail_and_recreation,-2
PE,Peru,Lima Province,2020-02-24,retail_and_recreation,-1
PE,Peru,Lima Province,2020-02-25,retail_and_recreation,0
PE,Peru,Lima Province,2020-02-26,retail_and_recreation,1
PE,Peru,Lima Province,2020-02-27,retail_and_recreation,0
PE,Peru,Lima Province,2020-02-28,retail_and_recreation,3
PE,Peru,Lima Province,2020-02-29,retail_and_recreation,5
PE,Peru,Lima Province,2020-03-01,retail_and_recreation,7
PE,Peru,Lima Province,2020-03-02,retail_and_recreation,3
PE,Peru,Lima Province,2020-03-03,retail_and_recreation,4
PE,Peru,Lima Province,2020-03-04,retail_and_recreation,3
PE,Peru,Lima Province,2020-03-05,retail_and_recreation,1
PE,Peru,Lima Province,2020-03-06,retail_and_recreation,1
PE,Peru,Lima Province,2020-03-07,retail_and_recreation,2
PE,Peru,Lima Province,2020-03-08,retail_and_recreation,6
PE,Peru,Lima Province,2020-03-09,retail_and_recreation,-2
PE,Peru,Lima Province,2020-03-10,retail_and_recreation,-2
PE,Peru,Lima Province,2020-03-11,retail_and_recreation,-5
PE,Peru,Lima Province,2020-03-12,retail_and_recreation,-8
PE,Peru,Lima Province,2020-03-13,retail_and_recreation,-10
PE,Peru,Lima Province,2020-03-14,retail_and_recreation,-13
PE,Peru,Lima Province,2020-03-15,retail_and_recreation,-21
PE,Peru,Lima Province,2020-03-16,retail_and_recreation,-57
PE,Peru,Lima Province,2020-03-17,retail_and_recreation,-81
PE,Peru,Lima Province,2020-03-18,retail_and_recreation,-84
PE,Peru,Lima Province,2020-03-19,retail_and_recreation,-87
PE,Peru,Lima Province,2020-03-20,retail_and_recreation,-88
PE,Peru,Lima Province,2020-03-21,retail_and_recreation,-88
PE,Peru,Lima Province,2020-03-22,retail_and_recreation,-87
PE,Peru,Lima Province,2020-03-23,retail_and_recreation,-86
PE,Peru,Lima Province,2020-03-24,retail_and_recreation,-87
PE,Peru,Lima Province,2020-03-25,retail_and_recreation,-86
PE,Peru,Lima Province,2020-03-26,retail_and_recreation,-86
PE,Peru,Lima Province,2020-03-27,retail_and_recreation,-85
PE,Peru,Lima Province,2020-03-28,retail_and_recreation,-86
PE,Peru,Lima Province,2020-03-29,retail_and_recreation,-85
PE,Peru,Lima Province,2020-03-30,retail_and_recreation,-83
PE,Peru,Lima Province,2020-03-31,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-01,retail_and_recreation,-85
PE,Peru,Lima Province,2020-04-02,retail_and_recreation,-85
PE,Peru,Lima Province,2020-04-03,retail_and_recreation,-86
PE,Peru,Lima Province,2020-04-04,retail_and_recreation,-88
PE,Peru,Lima Province,2020-04-05,retail_and_recreation,-97
PE,Peru,Lima Province,2020-04-06,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-07,retail_and_recreation,-86
PE,Peru,Lima Province,2020-04-08,retail_and_recreation,-80
PE,Peru,Lima Province,2020-04-09,retail_and_recreation,-98
PE,Peru,Lima Province,2020-04-10,retail_and_recreation,-98
PE,Peru,Lima Province,2020-04-11,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-12,retail_and_recreation,-97
PE,Peru,Lima Province,2020-04-13,retail_and_recreation,-82
PE,Peru,Lima Province,2020-04-14,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-15,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-16,retail_and_recreation,-85
PE,Peru,Lima Province,2020-04-17,retail_and_recreation,-85
PE,Peru,Lima Province,2020-04-18,retail_and_recreation,-85
PE,Peru,Lima Province,2020-04-19,retail_and_recreation,-97
PE,Peru,Lima Province,2020-04-20,retail_and_recreation,-82
PE,Peru,Lima Province,2020-04-21,retail_and_recreation,-86
PE,Peru,Lima Province,2020-04-22,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-23,retail_and_recreation,-85
PE,Peru,Lima Province,2020-04-24,retail_and_recreation,-84
PE,Peru,Lima Province,2020-04-25,retail_and_recreation,-83
PE,Peru,Lima Province,2020-04-26,retail_and_recreation,-97
PE,Peru,Lima Province,2020-04-27,retail_and_recreation,-81
PE,Peru,Lima Province,2020-04-28,retail_and_recreation,-82
PE,Peru,Lima Province,2020-04-29,retail_and_recreation,-82
PE,Peru,Lima Province,2020-04-30,retail_and_recreation,-82
PE,Peru,Lima Province,2020-05-01,retail_and_recreation,-87
PE,Peru,Lima Province,2020-05-02,retail_and_recreation,-83
PE,Peru,Lima Province,2020-05-03,retail_and_recreation,-97
PE,Peru,Lima Province,2020-05-04,retail_and_recreation,-79
PE,Peru,Lima Province,2020-05-05,retail_and_recreation,-80
PE,Peru,Lima Province,2020-05-06,retail_and_recreation,-82
PE,Peru,Lima Province,2020-05-07,retail_and_recreation,-85
PE,Peru,Lima Province,2020-05-08,retail_and_recreation,-84
PE,Peru,Lima Province,2020-05-09,retail_and_recreation,-81
